"id","domain","operation_edge","current_owner","current_surface","current_authority_shape","current_gap","target_owner","target_surface","target_authority_shape","required_change","proof_gate","depends_on","priority","status"
"49","consumer demand","blob lifecycle demand to ordinary operation","forge-store-blob-chunks/layout_projection","dedupe reachability reclaim retention quarantine compaction shapes","declaration-only projection","Blob operations can advertise access needs without an admitted execution route","blob owner then ordinary runtime facade","typed blob layout requests","blob lifecycle owns semantics; layout owners execute exact storage operations","Map every blob projection to exact operation or diagnostic-only declaration","Integration tests for dedupe reclaim quarantine retention and compaction","46","high","needs_inventory"
"50","consumer demand","backup import restore demand to ordinary operation","forge-store-operations/layout_projection","backup export import restore capsule shapes","declaration-only projection","Trust-boundary operations are not shown entering current layout admission and readmission","operations owner then ordinary runtime facade","typed custody-aware layout requests","operations owner supplies admitted security/custody evidence; layout runtime supplies storage execution","Wire exact operations without promoting application or serde metadata into authority","Integration tests across deployment key-scope and restore trust boundaries","46","high","needs_inventory"
"51","certification","production execution to courtroom verdict","forge-store-certification and physical-certification","scenarios replay transcripts and ExecutedAccessReceipt consumers","courtroom consumes broad receipts and can use test-only authority","Courtroom can validate a synthetic graph rather than the production graph","forge-store-certification/courtroom","observe ordinary runtime outcomes","certification supplies hostile inputs schedules and assertions but issues no production capability","Migrate scenarios to ordinary facade and remove outcome-authoring helpers","Compile-fail certification cannot construct owner outcomes; runtime all cases use production facade","44;46","critical","partial"
"52","test support","raw fixture to production scenario","forge-store-test-support and crate-local helpers","durable witnesses selection unwrap bridges and authority fixtures","helpers can preserve displaced topology","Tests may manufacture evidence unavailable through production","forge-store-test-support/raw_inputs","raw bytes devices schedules clocks faults and declarations only","test support prepares hostile world inputs; production owners issue every capability","Delete issuers compatibility constructors and witness-oracle helpers","Architectural residue scan plus compile-fail test support cannot issue","46;51","critical","partial"
"53","compile-fail proof","external crate to forbidden construction","layout-indexes runtime_authority suite","growing operation-specific fixtures","coverage exists but is manually incomplete","Sibling issue predecessor skip copied projection and environmental failure gaps remain","owner-local generated compile-fail matrix","one fixture per forbidden edge class","matrix derives from canonical owner inventory and checks intended diagnostic","Generate cases and reject E0463 or missing-crate false positives","Run dedicated runtime_authority runner cleanly","42;43","high","partial"
"54","runtime proof","declared owner case to ordinary observed case","layout-indexes and certification tests","representative B-tree and partial degraded tests","membership and representative examples","One success per family cannot prove every advertised case is reachable","certification courtroom coverage matrix","ordinary facade case execution","exact set equality between owner inventory and cases observed through production","Generate matrix by owner family and case; include every denial deferred stale rebind and compatibility case","No catalog-only tests; exact equality and hostile scenarios","42;46;51","critical","missing_capability"
"55","public topology","crate exports to caller lifecycle","layout-indexes/lib.rs compatibility roots","S8 names access_execution access_lowering broad receipts","milestone vocabulary and old/new paths coexist","Public API teaches implementation history rather than authority order","owner-shaped permanent facade modules","request planning btree_read lsm_read degraded_scan publication replay compaction projections","exports expose operation sequence and distinguish authority from observation","Rename permanent vocabulary; remove compatibility roots after consumer migration","Public API snapshot and residue scan forbids S8 S9 phase and displaced roots","44;46","high","mixed_cutover"
"56","directory topology","semantic ownership to module layout","layout-indexes access/execution plus strategy trees","shared outcomes counters facades and operation code split across broad trees","files invite path-kind dispatch and shared bags","Current directories obscure operation ownership and keep compatibility surfaces adjacent to production","layout-indexes owner-shaped vertical modules","artifact_family request planning btree_read btree_publication btree_replay lsm_read lsm_publication lsm_replay lsm_compaction degraded_scan projections","each directory owns one state machine; mod.rs aggregates only","Move code with each completed vertical slice and remove empty compatibility shells","Code-quality QA: topology communicates owner and next valid transition","22-55","high","needs_restructure"
"57","dependency direction","semantic owner to physical and courtroom crates","Cargo dependency graph","layout-indexes depends on physical owners; certification depends broadly","dependencies generally point upward from physical truth to semantic consumers","Adding an upper runtime can create cycles or tempt certification to own production contracts","workspace crate graph","lower physical/WAL/recovery owners -> layout semantic projection -> upper runtime -> certification","law lives with production owner; courtroom only imports and observes","Document and mechanically check allowed dependency edges before adding facade crate","cargo metadata cycle check and forbidden dependency scan","29;33;37;46;51","critical","partial"
"58","warning proof","cutover state to compiler diagnostics","layout-indexes and physical-format","large warning set","dead compatibility and unadopted surfaces","Warnings conceal unfinished adoption and false completion","all changed production crates","zero-warning focused graph","every retained item is used through ordinary production or explicitly scoped test support","Classify each warning as missing adoption invalid abstraction or residue and resolve root cause","cargo check focused crates with warnings denied where practical","all","high","failed_gate"
"59","verification integrity","verification command to trusted gate","automation runner and manual commands","historically chained commands","later success can mask earlier failure","A later successful command can produce a false green result","automation verification bundle","one command one captured exit status","gate records every required command independently and stops on failure","Use separate invocations and no semicolon success masking","Deliberately failing first command must fail bundle","53;54;58","critical","failed_gate"
"60","completion","ordinary admitted request to certified owner execution","entire Phase 34 graph","partial vertical slices plus compatibility topology","many real capabilities but no complete enforced graph","No single supported-family graph proves execution and case coverage without compatibility authority","production owners plus upper runtime plus courtroom","request -> planning -> exact owner -> physical/WAL/recovery execution -> projection -> courtroom","every supported operation has one unforgeable vertical path and every advertised case is ordinarily reachable","Complete vertical slices; delete generic plans receipts catalogs test issuers milestone names and compatibility lanes","All architecture rows pass; exact inventory equality; zero warnings; QA loop test QA and code-quality QA clean","all","critical","not_complete"
"61","LSM membership admission","durable WAL append to admitted LSM component","forge-store-lsm-authority/membership model artifact declaration and session","LsmMembershipRecord::admit plus LsmMembershipArtifactDeclaration plus LsmCompactionMembership-owned manifest_scope and compaction_output_digest","Private record binds envelope durable scope key persisted path and byte length after artifact comparison; session repeats exact-byte validation immediately before append; upper crates can request non-authoritative persistence bytes but cannot call raw encoders or reproduce membership digest law","No row-61 ownership gap remains; WAL supplies durable receipts while LSM authority owns record admission selection and replacement","forge-store-lsm-authority/membership","admit durable component and derive publication declarations","LSM authority validates persisted WAL component bytes returns opaque membership records derives manifest and output identities and commits only with physical publication","Keep raw encoders and digest private; keep declaration fields private and ensure no authority API accepts a declaration as proof","Compile-fail raw envelope receipt key path bytes and copied checksum cannot construct membership; raw encoders are private; post-admission substitution is denied","37","critical","owner_boundary_proven"
"62","LSM membership journal","admitted component to append-only membership state","forge-store-lsm-authority/membership/journal","LsmMembershipSession::persist or replace -> typed JournalEvent -> native bounded binary codec -> separately checksummed versioned frame header and payload -> write_all -> sync_all; replay returns typed LsmMembershipReplayPosture","Add and Replace events encode exact typed fields without JSON text whitespace or hex grammar; Replace carries selected version and identities output identity scope path and bytes plus checkpoint scope path and bytes; framing distinguishes intact completion torn final append and corruption","No row-62 authority or crash-contract gap remains; cross-owner physical and manifest ordering remains tracked by row 38","forge-store-lsm-authority/membership/journal codec plus replay","append typed membership event","binary native add or atomic replacement event payload inside a versioned integrity frame; session exposes replay posture and applies only fully verified events","Keep event and frame constructors private to LSM authority; preserve immediate artifact revalidation and typed replay posture","Native add and replacement round trip; crash at every byte boundary through ordinary reopen; torn final event; header length corruption; payload corruption; interior magic version and kind corruption; duplicate active component; output substitution; segment and generation mismatch","61","critical","exact_capability_proven_crash_matrix"
"63","LSM membership reopen","membership journal to reopened authoritative set","forge-store-lsm-authority/membership/replay.rs plus session.rs","LsmMembershipSession::open -> replay_journal -> replay_add or replay_replace","replacement events persist selected version exact component identities exact output identity scope path and bytes plus checkpoint scope path and bytes; live and replay share selected-state manifest and replacement-artifact validators","Valid replacement survives reopen; every incomplete frame preserves the old frontier and exposes no replacement; same-length output or manifest substitution fails closed","forge-store-lsm-authority/membership/reopen","readmit membership history","replay applies the same predicates and exact identity binding as live persist and replace with no weaker recovery lane","Retain shared validators and owner-local replay decomposition","Replace output or manifest bytes at same length; swap scope; replay stale replacement; alter selected component after append; live/reopen decision equivalence","61;62;64","critical","validation_parity_proven"
"64","manifest membership publication","selected active membership to retired inputs and visible output","forge-store-lsm-authority/membership/publication.rs plus session.rs","admit_lsm_replacement_output -> AdmittedLsmReplacementOutput; admit_lsm_membership_replacement -> AdmittedLsmMembershipReplacement; LsmMembershipSession::replace -> PublishedLsmMembershipReplacement","LSM authority constructs the exact output envelope from a durable WAL receipt and typed physical intent; replacement commit requires the matching opaque CompactionRewritePublication plus exact manifest before one atomic Replace event","No row-64 capability gap remains; missing or mismatched physical publication cannot append membership state","forge-store-lsm-authority plus physical-isolation plus physical-format manifest","publish LSM membership replacement","physical owner issues exact rewrite publication; manifest owner issues exact durable receipt; LSM authority joins both with old and new membership identity into one replacement commit","Keep physical intent and publication mandatory at the LSM owner and keep all lookup authority descending from PublishedLsmMembershipReplacement","Compile-fail missing physical intent or publication cannot commit; runtime wrong physical publication is denied before append; every-byte crash preserves exactly old or new authority","32;37;38;63","critical","atomic_physical_bound_replacement_proven"
"65","recovery source precedence","checkpoint WAL and partial publication observations to selected replay basis","forge-store-lsm-authority/replay_source.rs","AdmittedLsmReplaySource::admit_recovered_membership(membership checkpoint partial_publication)","LSM replay authority validates record kinds ordering WAL generation and ranges; exact checkpoint digest and coverage are mandatory; recovery-owned partial-publication classification selects checkpoint WAL fallback or typed denial","No row-65 precedence gap remains; exact current checkpoint stale checkpoint subset coverage copied digest pre-append residue log-only residue torn publication and ambiguous cutover have explicit outcomes","forge-store-lsm-authority/replay_source.rs","classify LSM recovery source","sealed classification binds precedence decision to reopened WAL membership checkpoint coverage store authority and replay request identity","Keep PartialPublicationClassification sealed and production-exported and keep exact manifest digest mandatory","Exact checkpoint; stale checkpoint; subset coverage; copied full-coverage digest; pre-append residue; log-only residue; torn publication; ambiguous cutover; wrong store and duplicate sequence","39;63;64","critical","recovery_precedence_capability_proven"
"66","LSM replay execution","admitted recovery source to replayed semantic run view","forge-store-lsm-authority/replay_source plus layout-indexes/strategy/lsm/replay_runtime.rs","AdmittedLsmReplaySource::execution_plan -> LsmReplayExecutionPlan -> LsmReplayRuntime::execute","LSM authority derives replay tail replayable count stale count cleanup batches and remaining runs from the admitted checkpoint-or-WAL source; layout projects that sealed plan and no longer authors counts","No row-66 execution or hostile-membership gap remains; owner-derived WAL and checkpoint plans and the full fixed-triplet malformed matrix are exercised through ordinary persistence","layout-indexes/lsm_replay","apply admitted recovery source","layout consumes recovery-owned source and emits an opaque semantic replay outcome whose cases derive from executed ordering checks","Keep replay counts owner-derived and complete the hostile malformed-membership matrix through ordinary durable admission","WAL source replays three active records with no cleanup; covering checkpoint replays zero and retires three; every order permutation duplicate sequence wrong kind non-replayable kind and retired membership is denied","39;65","critical","owner_derived_execution_hostile_matrix_proven"
"67","LSM operation composition","independent compaction replay and publication capabilities","layout-indexes/strategy/lsm operation runtimes","LsmCompactionRuntime; LsmReplayRuntime; LsmPublicationRuntime","The umbrella request witness intent and durable-input bag are removed; preparation cannot authorize lookup and does not retire membership; publication alone returns visible lookup authority","Operation separation is proven, while compaction still needs the physical-isolation admission described by rows 40 and 68","layout-indexes/lsm_publication; layout-indexes/lsm_replay; layout-indexes/lsm_compaction","three operation-specific facades and outcomes","each operation consumes only its own selected intent and lower-owner prerequisites; shared data is observation not umbrella authority","Keep the hard split and connect prepared compaction to physical-isolation without recreating an umbrella executor","Compile-fail publication selection cannot replay or compact; replay selection cannot publish; compaction selection cannot manufacture publication; ordinary facade supports each independently","38;39;40;66","critical","operation_split_proven"
"68","LSM compaction membership","active component set to semantic compaction inputs","forge-store-lsm-authority plus layout-indexes/lsm_compaction plus physical-isolation","LsmCompactionMembership -> LsmCompactionInputs plus LsmPhysicalCompactionIntent -> PreparedLsmCompaction -> InterlockedLsmCompaction -> PublishedLsmCompaction::observe_reader_cutover","Prepared output retains exact ancestry-bearing membership and typed physical intent; LSM replacement rechecks the opaque physical rewrite publication before journal commit; semantic reader observation delegates to the retained physical publication","Physical commit bypass wrong protected root stale membership copied construction wrong output binding and concurrent pre/post-cutover reader behavior are proven","forge-store-lsm-authority plus layout-indexes/lsm_compaction","lower admitted membership into physical mutation demand","semantic compaction owner binds selected intent WAL membership version exact components output demand and protected-range demand then physical owner admits mutation and reader cutover","Retain exact plan identity and owner-delegated reader observation without projection shortcuts","Focused LSM courtroom physical compaction tests and runtime-authority compile-fail suite pass","37;40;41;64","critical","physical_membership_cutover_proven"
"69","physical compaction authority","semantic compaction demand to interlocked mutation outcome","forge-store-physical-isolation/compaction_interlock","CompactionReadInterlockPlan retains source-integrity basis; ordinary delta publication visibility reclaim drain and mutation-denial outputs expose exact owner cases","Physical operations are the sole case issuers; private case identifiers prevent external authorship; aggregation only chains owner-family iterators","All eleven executable physical cases have exact ordinary-output equality and bijective layout projection; semantic courtroom adoption remains under row 74","forge-store-physical-isolation/compaction_interlock","execute physical compaction demand","physical operation outcome is the sole source for mutation publication deferral drain and denial case identity","Keep the owner-local inventory and migrate courtroom scenarios through semantic LSM operations","Exact case-count equality unique case identity round-trip projection and every mutation-lane denial through ordinary execution","41;42;68","critical","physical_owner_case_cutover_proven"
"70","B-tree recovery source","checkpoint WAL root artifact and selected intent to replay capability","forge-store-recovery-physics/btree_replay plus checkpoint_cutover plus source_precedence plus physical-format facade","AdmittedBTreeReplaySource<I> binds selected intent readiness Store-bound artifact AdmittedRecoverySource and sealed BTreeReplayRootAgreement; CheckpointRootPosture and checkpoint durability retain exact PhysicalReference rather than a root-number projection","Recovery proves exact checkpoint logical-root identity including generation and slot; checkpoint/tail identity and frontier continuity; durable checkpoint publication; Store identity; physical manifest membership; and selected semantic intent. WAL-only cannot borrow an unrelated physical root","Torn-checkpoint and recovery-blocked courtroom paths are not yet exercised through this facade; WAL-only support correctly remains unavailable until a replay owner materializes a root","forge-store-recovery-physics/btree_replay plus physical-format root recovery","admit B-tree recovery source","recovery owner binds source precedence exact logical root checkpoint coverage WAL frontier Store identity publication completion and physical artifact integrity; layout applies B-tree semantics","Add ordinary crash fixtures for torn checkpoint publication and recovery-blocking integrity; later introduce a WAL-materialized-root capability before admitting WAL-only B-tree replay","Torn WAL stale root partial checkpoint generation rollback source disagreement wrong Store recovery blocked and test-support forgery","12;33;34;65","critical","exact_root_frontier_capability_proven_crash_matrix_partial"
"71","owner outcome grammar","operation-local case to issued capability and topology projection","layout-indexes broad outcomes plus migrated physical compaction outcomes","Physical compaction uses private owner-local case constants opaque outputs read-only cases and aggregation-only inventory; layout families remain mixed","The recipe is proven for physical compaction but not yet adopted across every layout owner family","Names can still imply authority in unmigrated layout families where construction classification counters and topology are independently authored","each operation owner","private case classifier plus opaque issued outcome plus read-only view plus generated owner-family projection","one owner-local declaration or recipe is source for issuance view counter evidence and inventory; forge-proof supplies grammar only","Migrate remaining operation families vertically; prohibit crate-wide factory; next operation accepts only issued capability where semantically required","Compile-fail views payloads denials counters and copied transition facts cannot construct outcomes; exact runtime case inventory equality","1;42;45;54","critical","physical_substrate_adopted_remaining_families_missing"
"72","topology aggregation","owner-family inventories to future state-machine handoff","layout-indexes exports and milestone-shaped handoff vocabulary","manual or displaced S8/S9 types remain broadly exported; old transition catalog search is largely absent","aggregation is incomplete and milestone-shaped rather than a sealed union of executable owner cases","The original parallel catalog appears reduced but there is no proven canonical aggregation over all executable owner families and milestone vocabulary obscures permanent ownership","layout-indexes/topology","aggregate sealed owner-family inventories","cold read-only topology derives only from owner inventories and cannot author cases transitions or authority","Inventory every ordinary owner family; generate aggregation and lookup from one declaration; keep handoff vocabulary out of production names","Exact union equality no duplicates no missing families and compile-fail aggregation cannot issue operation outcome","42;43;71","critical","catalog_removed_aggregation_missing"
"73","public milestone vocabulary","permanent domain API to caller","layout-indexes public surface","large set of public S8-prefixed declarations outcomes receipts plans witnesses and facades","construction-history vocabulary is embedded in production type identity and facade names","Milestone names still encode construction history across core request planning execution integrity maintenance and customization APIs; mechanical renaming alone would not fix rows 39 63 64 67 70 and 71","owner-shaped permanent modules","domain nouns without S8 S9 phase or milestone prefixes","public names express stable domain ownership and lifecycle position rather than roadmap chronology","Rename only after each vertical owner cutover so names reflect real ownership; do not preserve aliases","Residue scan reports zero public milestone-prefixed production items and downstream crates compile through permanent facades","55;56;67;71;72","high","widespread_cleanup_after_boundaries"
"74","courtroom adoption","ordinary recovery and compaction operations to adversarial proof","forge-store-certification plus forge-store-test-support","scenario fixtures durable witnesses replay artifacts and direct lower-level imports","courtroom coverage is extensive but some paths can still assemble evidence below the ordinary operation facade","Tests can validate predicates without proving that production callers traverse the same owner chain","forge-store-certification/courtroom","observe ordinary facade outcomes from hostile raw worlds","test support supplies bytes devices crash points schedules and hostile declarations only; production owners issue every capability","Migrate LSM and B-tree recovery and compaction matrices after owner splits; remove helper issuers and direct witness constructors","Compile-fail certification and test support cannot issue sources outcomes membership or topology; runtime coverage matrix reaches every owner case","51;52;53;54;63-72","critical","blocked_on_owner_cutover"
