"id","layer","subsystem","architecture_edge","current_owner","current_code_surface","current_capability_or_data","current_failure_mode","target_owner","target_code_surface","target_capability","allowed_observers","forbidden_author","required_cutover","mechanical_proof","depends_on","phase34_scope","priority","status"
"50","topology","physical projection","physical compaction cases to layout topology vocabulary","layout-indexes compaction_projection","compaction_projection/physical_cutover.rs","semantic projection of physical owner cases","Projection can accidentally merge physical denial identities or become a second source of topology","layout adapter only","compaction_projection","bijective PhysicalCompactionCaseProjection preserving owner operation and case id","S9 aggregator; diagnostics","layout classifier; certification","Make projection total injective and round-trippable over physical owner inventory","Exact count uniqueness and round-trip for every physical case","42;48","supporting","critical","partial"
"51","topology","public lifecycle facade","crate exports to caller next-step graph","layout-indexes root lib and facade","lib.rs; facade/*.rs; root compatibility modules","large flat export surface with milestone names and overlapping facades","The caller sees overlapping catalogs compatibility roots and operation facades instead of one obvious next-step lifecycle","caller-facing operation owners","operation facades plus narrow top-level prelude","only declarations requests outcomes and next-stage capabilities appropriate to each operation","application callers","internal catalogs helpers cases receipts and S9 artifacts","Split public API by permanent domain lifecycle and remove root compatibility aliases","Public API compile-fail matrix and rustdoc surface review","23;47;49","direct","high","needs_restructure"
"52","topology","directory ownership","semantic owner to physical module tree","layout-indexes","duplicate top-level domains such as access/access_shape keyspace/key_domain strategy/strategy_registry migration/evolution and root business-logic files","mixed old and target skeleton","The tree still teaches multiple architectures and allows sibling reachability to substitute for a boundary","permanent domain owners","artifact_family; key_domain; request; planning; strategy families; execution_observation; topology","one directory per owner with facades at boundaries and private decision/issuance internals","developers and agents","legacy sibling trees; mod.rs business logic","Finish semantic consolidation after capabilities are established; move before rename where ownership is already known","Residue rejects duplicate owner directories root business logic and mod.rs business logic","5;7;11;13;21;23;46;49","direct","high","needs_restructure"
"53","topology","milestone vocabulary","temporary implementation names to permanent database language","layout-indexes and compile-fail fixtures","widespread S8 prefixes phase feature names and s8_* compile-fail modules","milestone-shaped production API","Milestone vocabulary makes code reason about delivery history instead of durable domain boundaries","each permanent owner","all touched production modules and Cargo features","permanent domain names describing capability and operation","callers; docs","production API; features; module names","Rename only after each owner boundary is settled; remove aliases rather than preserving dual vocabulary","Source residue allows milestone names only in specs migration records and explicitly temporary test labels","52","direct","high","widespread"
"54","cross-crate adoption","maintenance demand","maintenance request to ordinary layout operation","forge-store-maintenance plus layout projection","maintenance/layout_projection and layout-indexes maintenance","projection requests and broad maintenance outcomes","Consumer may restate layout facts or bypass the ordinary selected operation path","maintenance owns demand; layout owner admits operation","maintenance facade to layout operation facade","AdmittedMaintenanceLayoutOperation retaining consumer demand and owner-issued layout capability","maintenance scheduler; certification","maintenance projection; test support","Inventory every maintenance demand and route through ordinary operation owner","Exact demand-to-operation matrix; copied projection cannot lower or publish","23;47","supporting","high","needs_inventory"
"55","cross-crate adoption","tiering demand","placement recall and cold-tier requests to ordinary layout operation","forge-store-tiering plus layout projection","tiering/layout_projection","placement and recall projections","Consumer-facing projections can become parallel operational contracts","tiering owns demand; layout owner admits operation","tiering facade to layout operation facade","AdmittedTieringLayoutOperation","tiering executor; certification","projection modules","Inventory all tiering reads publications scans and recalls and consume exact owner capabilities","Hostile stale placement wrong family and copied projection cases","23;47","supporting","high","needs_inventory"
"56","cross-crate adoption","blob lifecycle demand","blob reachability retention reclaim compaction to ordinary layout operation","forge-store-blob-chunks plus layout projection","blob-chunks/layout_projection and handoffs","blob lifecycle projection rows and receipts","Blob domain can accidentally author layout readiness or compaction meaning","blob owner owns demand; layout and physical owners admit operations","blob facade to layout and physical operation facades","AdmittedBlobLayoutOperation or physical demand capability","blob lifecycle orchestration; certification","blob projection; test harness","Map every blob operation onto read publication compaction reclaim or scan owner capability","Real multi-GB lifecycle scenarios plus copied reachability and retention substitutions","23;47","supporting","high","needs_inventory"
"57","cross-crate adoption","backup import restore demand","operations requests to readmission and layout operations","forge-store-operations plus layout projection","operations/layout_projection","backup export import restore projections","Trust-boundary data may be treated as current layout or security authority","operations owns demand; security materialization and layout owners readmit","operations facade to owner facades","AdmittedImportOrRestoreLayoutOperation after current-scope readmission","operations executor; certification","deserialized bundle; projection; operator identity","Make every trust-boundary crossing regain current family key materialization and security authority before planning","Offline export different Store key generation and post-rotation restore hostile matrix","5;7;11;23;47","supporting","high","needs_inventory"
"58","courtroom","production scenario entry","fixture declarations to ordinary operation execution","forge-store-test-support","harness/layout and production_facade.rs","fixtures and production facade adapters","Test support can still prepare broad witnesses and may accidentally become an alternate authority lane","production owners; test support only builds raw worlds","test-support scenario builders","raw declarations physical worlds faults and requests only","certification courtroom","test support; certification","Remove all outcome fact readiness publication and owner-case constructors from support","Compile-fail test-support dependency cannot mint owner capabilities; scenario source residue gate","23;47","direct","critical","partial"
"59","courtroom","case coverage","ordinary outcomes to exhaustive verdict matrix","forge-store-certification","courtroom layout scenarios","representative runtime tests and compile-fail suites","Representative contains-one tests cannot prove every advertised owner case is reachable or distinct","certification observes owner inventories and production executions","courtroom/layout/owner_case_coverage","generated exact coverage matrix keyed by owner family and stable case id","humans; CI","certification-authored cases; catalog-only rows","Execute every owner case through production facade and compare exact sets","No missing extra merged or duplicate cases; all compile-fail fixtures fail for intended error not E0463","47;48;58","direct","critical","missing_capability"
"60","courtroom","architectural residue","source tree to boundary verdict","CI plus certification structural checks","compile-fail runners and ad hoc source assertions","privacy tests plus partial residue checks","Compile-fail proves selected impossibilities but does not prove parallel catalogs duplicate classifiers or milestone facades are absent","workspace CI","scripts/ci/check_layout_authority_topology","machine-readable forbidden-pattern and unique-owner checks","developers; runner","production crates","Add stable structural checks for duplicate classifiers outcome factories independent catalogs root logic and milestone vocabulary","CI command fails on seeded forbidden residues and passes current tree only after actual removal","16;21;47;49;51;52;53","direct","critical","missing"
"61","verification","dependency direction","semantic authority graph to Cargo graph","mixed","layout depends on physical format isolation recovery and lsm authority; dev dependencies cycle back through certification and test support","Cargo package boundaries and feature-gated authority","Feature names and dev cycles make the intended production DAG hard to see; lower crates must never depend on courtroom meaning","semantic owners above lower physical owners; courtroom depends downward only","Cargo.toml production dependencies","acyclic production authority graph with narrowly named test-only features","workspace tooling","lower crates; certification; test support","Document and mechanically assert production dependency direction and remove milestone feature names","cargo metadata DAG check; forbidden dependency matrix","33;38;41;58","direct","critical","partial"
"62","verification","warning integrity","compiler warnings to cutover confidence","workspace","cargo check with broad pre-existing warning backlog","warnings and dead-code signals","New dead compatibility lanes can hide inside existing noise and false completion can be declared","workspace CI","warning baselines by touched crate","zero new warnings and explicit shrinking baseline","developers; runner","none","Establish per-crate warning baseline then require no growth and zero warnings in migrated owner modules","Warning diff gate and dead-code check on cutover modules","52;53","direct","high","failed_gate"
"63","verification","command integrity","verification command to trusted result","workspace","focused cargo checks tests and compile-fail runners","manual command list","Wrong manifest workspace feature or missing crate failures can masquerade as architectural proof","workspace CI","phase34 verification script","one deterministic command running focused runtime compile-fail residue DAG and warning gates","developers; runner","none","Create a checked-in verification entrypoint with explicit nested manifest and feature matrix","Clean run records every expected suite and rejects E0463/environmental false positives","59;60;61;62","direct","critical","missing"
"64","completion","honest read-path closure","admitted request to certified owner execution","all owners above","current partial chain","mixed strong operation paths and missing admission topology boundaries","The system can execute important B-tree and LSM paths but cannot yet prove one uninterrupted unforgeable chain for every supported family and case","permanent domain owners","ordinary public facades plus cold topology aggregation","exact capability chain from admitted family through executed owner outcome","callers; S9; courtroom","catalogs; projections; fixtures; copied facts","Close every direct row then prove all supporting rows used without granting them semantic ownership","Exact family x operation x outcome matrix; all bypass compile-fail and residue gates; no warnings in migrated surface","5;7;11;13;14;16;19;21;23;24;25;27;28;29;30;31;32;39;44;46;47;48;49;51;58;59;60;61;62;63","direct","critical","not_complete"
