"delta_id","wave","sequence","domain","change_type","current_file","current_symbol","current_responsibility","current_inputs","current_outputs","architectural_defect","target_file","target_symbol","target_responsibility","target_inputs","target_outputs","required_invariants","depends_on","unblocks","callers_to_migrate","symbols_to_delete","tests_to_migrate","new_proofs_required","mechanical_completion_check","compile_or_test_gate","risk","status","planning_notes","source_evidence"
"P10-D006","2-preparation","60","readiness","move_and_inline","runtime/frame_activation_gate/ready_activation.rs","UiCommittedAllocationPreparation::prepare","Validate pending activation; plan input; handles; Query blockers; lane parity; then hold transitions.","Pending activation|plan input|handles|attempt|candidate plan|lane parity","Independently movable UiCommittedAllocationPreparation","Validation is useful; the output is a sibling authority with transition getters.","runtime/activation/committed_allocation_attempt/validation.rs","validate_readiness_and_plan_inputs","Run validation privately inside attempt preparation.","Attempt borrows|pending activation|plan input|handles|candidate plan|lane parity","Private validated facts or P10-D005 denial","No movable ready artifact; validation completes before any live mutation.","P10-D003|P10-D004|P10-D005","P10-D012|P10-D014|P10-D020","prepare_committed_allocation|prepare_committed_allocation_for_test","UiCommittedAllocationPreparation::prepare","frame gate tests|ready fixture builders","Plan; handle; Query; lane mismatch each deny with attempt identity","No public/crate-visible readiness artifact is produced","cargo check -p worth-ui-runtime|focused readiness denial tests","critical","complete","Move checks before deleting old type.","ready_activation.rs:30-90|verified 2026-07-12: canonical receipt-ledger -> move-only attempt -> prepare -> single-use commit route; 815/815 runtime tests; exact boundary guard and facade compile fences green"
"P10-D007","2-preparation","70","frame validation","move_and_inline","runtime/frame_activation_gate/gate.rs","WorthUiFrameActivationGate::activate_at_boundary","Validate boundary safety; runtime epoch; active observation.","Ready preparation|frame boundary|runtime epoch|active state","Gate receipt or gate denial","Independent callable gate authorizes an intermediate artifact.","runtime/activation/committed_allocation_attempt/validation.rs","validate_frame_boundary","Validate frame facts as a private preparation step.","Attempt identity|pending activation|boundary|runtime epoch|active snapshot","Private frame evidence or P10-D005 denial","Frame validation never produces independent publication authority.","P10-D005","P10-D012|P10-D014|P10-D021","activate_swap_gate_or_rollback|direct gate tests","WorthUiFrameActivationGate::activate_at_boundary","frame_activation_gate_boundary_tests|ReadyFixture consumers","Stale|future|mismatched frame cases leave all state unchanged","No direct frame gate activation call remains","cargo check -p worth-ui-runtime|frame denial tests through ordinary facade","high","complete","Retain denial taxonomy; remove publisher role later.","frame_activation_gate/gate.rs:11-113|verified 2026-07-12: canonical receipt-ledger -> move-only attempt -> prepare -> single-use commit route; 815/815 runtime tests; exact boundary guard and facade compile fences green"
"P10-D008","2-preparation","80","receipt ledger","move_and_inline","runtime/activation/gate.rs|runtime/activation/swap.rs","certifies_catalog_transition|commit_preflighted_catalog_transition","Validate ledger predecessor multiple times and later commit transition.","Attempt ledger transition|live ledger","Boolean certification then live commit","Transition is externally accessible; validation is duplicated; outcome can drift from graph successor.","runtime/activation/committed_allocation_attempt/ledger_successor.rs","prepare_ledger_successor","Validate once and retain private preflighted ledger successor.","Attempt-owned transition|ledger snapshot|P10-D001 identity","Prepared ledger successor or P10-D005 denial","Ledger outcome structurally agrees with graph; scroll; runtime; and receipt identity.","P10-D003|P10-D004|P10-D005","P10-D013|P10-D014","publish_committed_allocation_attempt|publish_committed_allocation","publication-facing ledger transition accessors","allocation receipt ledger tests|atomic swap tests","Stale ledger predecessor denies before mutation","One ledger certification path inside Attempt::prepare","cargo check -p worth-ui-runtime|ledger predecessor tests","critical","complete","Keep ledger substrate owner; move only transaction composition.","gate.rs:64-69|swap.rs:56-73|atomic_swap.rs:77-79|verified 2026-07-12: canonical receipt-ledger -> move-only attempt -> prepare -> single-use commit route; 815/815 runtime tests; exact boundary guard and facade compile fences green"
"P10-D009","2-preparation","90","graph invalidation","move_and_inline","runtime/invalidation_narrowing/catalog_transition.rs|runtime/activation/swap.rs","prepare_catalog_transition","Validate graph predecessor; prepare invalidation index and targets.","Catalog transition|live invalidation authority","Prepared invalidation catalog transition|scroll evidence|denial","Independent prepared transition enters atomic swap as a separate authority argument.","runtime/activation/committed_allocation_attempt/graph_successor.rs","prepare_graph_successor","Compose existing graph builder under the single attempt.","Attempt catalog|graph snapshot|P10-D001 identity","Private graph/invalidation successor or P10-D005 denial","Exact predecessor; structural lineage; no target reconstruction from digests.","P10-S005|P10-S006|P10-S007|P10-D001|P10-D003|P10-D004|P10-D005","P10-D010|P10-D014","publish_committed_allocation|catalog transition tests","publication-stage direct prepared transition input","catalog_transition tests|active_set tests","Stale graph predecessor and missing target deny without mutation","Atomic preparation accepts no independent invalidation transition argument","cargo check -p worth-ui-runtime|graph predecessor tests","critical","complete","Compose; do not move graph semantics into transaction module.","swap.rs:37-103|catalog_transition.rs|verified 2026-07-12: canonical receipt-ledger -> move-only attempt -> prepare -> single-use commit route; 815/815 runtime tests; exact boundary guard and facade compile fences green"
"P10-D010","2-preparation","100","scroll acquisition","move_and_inline","runtime/invalidation_narrowing/scroll_authority.rs|scroll_binding_index.rs|consumer.rs","scroll_target|scroll_query_target|binding acquisition","Acquire host or Query scroll bindings and materialize targets.","Host witness or Query mapping|indexes|admitted contracts","Bindings|probe counts|typed lookup denial","Acquisition and probes are not fully owned by one activation outcome; digest-shaped keys remain authoritative.","runtime/activation/committed_allocation_attempt/scroll_successor.rs","prepare_scroll_successor","Compose exact structural bindings and catalog identity under the attempt.","P10-D001 identity|P10-D009 graph successor|host witness|Query mapping|receipt key","Private scroll successor|structural evidence|P10-D005 denial","Indexes accelerate full equality; diagnostics never authorize; fixed NonVirtualized and ProjectedInteractionOnly.","P10-S003|P10-S004|P10-S007|P10-D001|P10-D005|P10-D009","P10-D014|P10-D023|P10-D024|P10-D025","consumer scroll lookups|catalog transition sealing","detached acquisition_probe authority|digest-only authorization","scroll binding tests|consumer tests|catalog evidence tests","Missing|stale|duplicate|contradictory|ambiguous source denials carry exact work and identity","No detached acquisition result can authorize activation","cargo check -p worth-ui-runtime|scroll acquisition adversarial tests","critical","complete","Preserve host/Query substrate boundaries.","scroll_authority.rs:14-59|consumer.rs:184-215 and 254-275|verified 2026-07-12: canonical receipt-ledger -> move-only attempt -> prepare -> single-use commit route; 815/815 runtime tests; exact boundary guard and facade compile fences green"
"P10-D011","2-preparation","110","frame replacement","move_and_rework","runtime/activation/swap.rs","begin_allocation_frame_replacement|install_allocation_frame_replacement_successor","Begin replacement before graph; ledger; and scroll preparation; restore on failure.","Live frame scheduler state","Replacement transition or rollback repair","Preparation mutates/pauses live replacement state before all failure points are exhausted.","runtime/activation/committed_allocation_attempt/runtime_successor.rs","prepare_frame_replacement_successor","Precompute replacement successor without installing it.","Frame scheduler snapshot|attempt identity","Private replacement successor or P10-D005 denial","No compensating live restoration during preparation.","P10-D005","P10-D014|P10-D023","publish_committed_allocation|rollback constructors","precommit install_allocation_frame_replacement_successor restoration paths","atomic swap rollback tests|frame replacement tests","Every later failure preserves scheduler state bit-for-bit","No frame replacement mutation occurs before commit_once","cargo check -p worth-ui-runtime|replacement failure tests","critical","complete","This is a true atomicity repair; do before aggregate commit.","swap.rs:19-110|verified 2026-07-12: canonical receipt-ledger -> move-only attempt -> prepare -> single-use commit route; 815/815 runtime tests; exact boundary guard and facade compile fences green"
"P10-D012","2-preparation","120","active runtime","move_and_inline","runtime/atomic_plan_swap/atomic_swap.rs","PreparedActiveSuccessor::prepare|prepare_swap_payload","Construct next active artifact; execution plan; snapshot; prior-valid observations.","Ready preparation|candidate plan|active snapshot","Prepared active successor plus committed/ledger fields","Active successor construction is owned by a separate atomic transaction and clones committed outcome.","runtime/activation/committed_allocation_attempt/runtime_successor.rs","prepare_active_successor","Build active successor from validated attempt-owned facts.","Attempt identity|candidate plan|active snapshot|validated pending activation","Private next active state or P10-D005 denial","No independently movable active publication authority; canonical committed outcome retained structurally.","P10-D005|P10-D006|P10-D007","P10-D014","UiCommittedAllocationTransaction::prepare","PreparedActiveSuccessor|prepare_swap_payload as publication API","atomic_plan_swap_boundary_tests|active state tests","Candidate digest mismatch and stale state deny before mutation","Only attempt preparation builds next active state","cargo check -p worth-ui-runtime|active successor tests","high","complete","Pure builders may remain private; ownership moves.","atomic_swap.rs:17-52 and 139-225|verified 2026-07-12: canonical receipt-ledger -> move-only attempt -> prepare -> single-use commit route; 815/815 runtime tests; exact boundary guard and facade compile fences green"
"P10-D013","2-preparation","130","durable state","create","runtime/atomic_plan_swap/atomic_swap.rs","durable_resize_source.activate during commit","Derive reconciliation then mutate durable resize source after other writes begin.","Ledger transition durable reconciliation|live durable resize source","Live durable mutation","Durable successor is not precomputed; commit performs behavior after publication has begun.","runtime/activation/committed_allocation_attempt/runtime_successor.rs","prepare_durable_resize_successor","Precompute complete durable successor during preparation.","Durable reconciliation|durable source snapshot|attempt identity","Private durable successor or P10-D005 denial","Commit performs replacement only; no callbacks or validation.","P10-D005|P10-D008","P10-D014","UiPreparedCommittedAllocationActivation::commit","post-write durable_resize_source.activate","durable resize activation tests|rollback tests","Failure before commit leaves durable source unchanged; success advances with all siblings","No durable activation method is called after first commit write","cargo check -p worth-ui-runtime|durable rollback tests","critical","complete","Required for truly infallible receipt-last commit.","atomic_swap.rs:72-87|verified 2026-07-12: canonical receipt-ledger -> move-only attempt -> prepare -> single-use commit route; 815/815 runtime tests; exact boundary guard and facade compile fences green"
"P10-D014","3-aggregate","140","prepared transaction","create_and_replace","runtime/atomic_plan_swap/atomic_swap.rs","UiCommittedAllocationTransaction::prepare|UiPreparedCommittedAllocationActivation","Accept split authorities and build final prepared artifact.","Ready preparation|candidate plan|boundary|replacement|scroll evidence|invalidation transition|active state","Prepared activation","Final artifact exists but is assembled after authority has already split across arguments.","runtime/activation/committed_allocation_attempt/prepared.rs","UiPreparedCommittedAllocationActivation","Own every complete successor and deferred receipt fields as one non-Clone value.","Outputs of P10-D006 through P10-D013","Complete prepared transaction","Dropping is rollback; only commit_once consumes; no validation or fallible work remains.","P10-D006|P10-D007|P10-D008|P10-D009|P10-D010|P10-D011|P10-D012|P10-D013","P10-D015|P10-D016|P10-D019|P10-D020|P10-D021|P10-D022|P10-D023|P10-D025","publish_committed_allocation","UiCommittedAllocationTransaction::prepare|prepare_at_checkpoint","atomic swap tests|activation tests","Prepared value cannot be cloned; decomposed; or partially committed","One constructor from Attempt::prepare; zero split-authority arguments","cargo check -p worth-ui-runtime|prepared transaction tests","critical","complete","Aggregate only after all successor builders exist.","atomic_swap.rs:54-225|verified 2026-07-12: canonical receipt-ledger -> move-only attempt -> prepare -> single-use commit route; 815/815 runtime tests; exact boundary guard and facade compile fences green"
"P10-D015","3-aggregate","150","commit","rework","runtime/atomic_plan_swap/atomic_swap.rs","UiPreparedCommittedAllocationActivation::commit","Mutate invalidation index; ledger; active state; frame replacement; durable resize; then create receipt.","Prepared activation|mutable runtime","Live state and receipt","Commit still borrows RefCell; asserts; invokes behavior; and relies on upstream Option/take/expect.","runtime/activation/committed_allocation_attempt/commit.rs","UiPreparedCommittedAllocationActivation::commit_once","Install precomputed successors then construct public receipt exactly once.","Prepared transaction|pre-acquired mutation capability","WorthUiPlanSwapReceipt","No validation|allocation|lookup|counter update|borrow acquisition|Option|expect|callback after first write.","P10-D014","P10-D016|P10-D019|P10-D022|P10-D023|P10-D024|P10-D025A","publish_committed_allocation","old commit|post-write durable activation|Option-backed replacement take/expect","commit atomicity tests|failure injection tests","All live families advance together; receipt cannot exist early","Commit body contains replacement writes plus receipt construction only","cargo check -p worth-ui-runtime|all commit checkpoint tests","critical","complete","Hard gate: do not route facade until commit is actually infallible.","atomic_swap.rs:63-88 and 199-225|verified 2026-07-12: canonical receipt-ledger -> move-only attempt -> prepare -> single-use commit route; 815/815 runtime tests; exact boundary guard and facade compile fences green"
"P10-D016","4-route","160","public facade","replace_route","runtime/activation/gate.rs","activate_admitted_allocation_catalog_at_frame_boundary|publish_committed_allocation_attempt","Facade preflights; lower publisher accepts already-split inputs and publishes.","Pending activation|admitted catalog|boundary","Receipt or facade denial","Lower entry is callable by production; certification; and tests, bypassing ordinary admission sequence.","runtime/activation/gate.rs","activate_admitted_allocation_catalog_at_frame_boundary","Become sole activation entry and consume attempt directly.","Pending activation|admitted catalog|boundary","Receipt or mapped P10-D005 denial","Exactly one ordinary route from admission to commit_once.","P10-S006|P10-D003|P10-D014|P10-D015","P10-D017|P10-D018|P10-D019|P10-D020|P10-D022|P10-D026","production activation|certification support|host certification|tests","publish_committed_allocation_attempt","production_catalog_activation tests","Ordinary route covers all validation and publication","rg has one production activation entry and no lower publisher","cargo check -p worth-ui-runtime|ordinary activation tests","critical","complete","First consumer of the completed canonical transaction.","gate.rs:22-91|verified 2026-07-12: canonical receipt-ledger -> move-only attempt -> prepare -> single-use commit route; 815/815 runtime tests; exact boundary guard and facade compile fences green"
"P10-D017","4-route","170","certification","migrate_caller","certification_support/touch_origin.rs","publish_committed_allocation_attempt caller","Certify touch-origin activation through lower publisher.","Prepared intermediate values","Receipt","Certification validates a bypass unavailable to desired public architecture.","certification_support/touch_origin.rs","ordinary facade caller","Certify public admitted-catalog route.","Pending activation|admitted catalog|boundary","Receipt or denial","Certification cannot mint or consume intermediate activation authority.","P10-D016","P10-D027","touch-origin certification","direct lower-publisher call","certification touch-origin tests","Certification proves ordinary route and structural receipt identity","No certification_support reference to lower activation types","cargo test -p worth-ui-runtime certification_support","medium","complete","Migrate after facade cutover.","touch_origin.rs:168|verified 2026-07-12: canonical receipt-ledger -> move-only attempt -> prepare -> single-use commit route; 815/815 runtime tests; exact boundary guard and facade compile fences green"
"P10-D018","4-route","180","host certification","migrate_caller","runtime/host_observation/certification/file_rust_replacement.rs","publish_committed_allocation_attempt caller","Certify host replacement using lower publisher.","Prepared intermediate values","Receipt","Host certification bypasses facade and can imply host-owned activation authority.","runtime/host_observation/certification/file_rust_replacement.rs","ordinary facade caller","Use host observations as evidence and runtime facade as authority.","Pending activation|admitted catalog|boundary","Receipt or denial","Host never publishes; it supplies sealed observation only.","P10-D016","P10-D026|P10-D027","file replacement certification","direct lower-publisher call","host observation certification tests","Host viewport extent replans only graph-owned neighborhood","No host module references lower publisher or prepared transaction","cargo test -p worth-ui-runtime host_observation","high","complete","Important anti-host-fallback proof.","file_rust_replacement.rs:236|verified 2026-07-12: canonical receipt-ledger -> move-only attempt -> prepare -> single-use commit route; 815/815 runtime tests; exact boundary guard and facade compile fences green"
"P10-D019","4-route","190","test topology","migrate_callers","runtime/tests/activation|runtime/tests/diagnostics|runtime/tests/reload","ReadyFixture|direct prepare|direct gate|direct swap fixtures","Construct synthetic intermediate authorities for focused tests.","Fixture-specific partial values","Gate/swap/rollback observations","Tests preserve and legitimize forbidden sibling publishers.","runtime/tests/activation/production_catalog_activation_test_support.rs","ordinary activation fixture|closed preparation checkpoint fixture","Build admitted inputs and call ordinary facade; private checkpoints cannot mint authority.","Admitted catalog inputs|checkpoint enum","Receipt or unified denial","Tests observe behavior without alternate authority construction.","P10-D014|P10-D015|P10-D016","P10-D020|P10-D021|P10-D022|P10-D026|P10-D027","all ReadyFixture consumers|direct gate/swap tests","ReadyFixture declarations|prepare_committed_allocation_for_test|publish_committed_allocation_at_checkpoint_for_test","activation|diagnostics|reload|rollback suites","Every former fixture scenario covered through facade or closed precommit checkpoint","rg returns zero ReadyFixture and direct publication fixture symbols","cargo test -p worth-ui-runtime --lib","critical","complete","Migrate tests before deleting old APIs.","runner review 2278 counts|runtime/tests/activation|verified 2026-07-12: canonical receipt-ledger -> move-only attempt -> prepare -> single-use commit route; 815/815 runtime tests; exact boundary guard and facade compile fences green"
"P10-D020","5-delete","200","readiness residue","delete","runtime/frame_activation_gate/ready_activation.rs|runtime/activation/gate.rs","UiCommittedAllocationPreparation|prepare_committed_allocation|prepare_committed_allocation_for_test","Expose movable ready authority and test constructor.","Partial activation facts","Movable preparation","Survives as sibling authority after canonical prepare exists.","","","No replacement symbol; behavior lives privately in P10-D006.","","","No independently movable readiness authority.","P10-D006|P10-D014|P10-D016|P10-D019","P10-D027","all ready preparation callers","UiCommittedAllocationPreparation|prepare_committed_allocation|prepare_committed_allocation_for_test|into_ledger_transition","frame gate and atomic swap tests","Anti-bypass compile/search proof","rg returns zero listed symbols and ready_activation module export","cargo check -p worth-ui-runtime|cargo test -p worth-ui-runtime --lib","critical","complete","Pure deletion wave; no new wrapper.","ready_activation.rs|gate.rs:98-155|verified 2026-07-12: canonical receipt-ledger -> move-only attempt -> prepare -> single-use commit route; 815/815 runtime tests; exact boundary guard and facade compile fences green"
"P10-D021","5-delete","210","frame gate residue","delete_or_demote","runtime/frame_activation_gate/gate.rs","WorthUiFrameActivationGate","Independent authorization of ready preparation.","Ready preparation|boundary|active observation","Gate receipt or denial","Sibling authorization surface remains callable.","runtime/activation/committed_allocation_attempt/validation.rs","private frame validation functions","Keep only validation logic and evidence types.","Attempt-owned frame facts","Private evidence or unified denial","No gate object capable of authorization exists.","P10-D007|P10-D014|P10-D019","P10-D027","activate_swap_gate_or_rollback|gate tests","WorthUiFrameActivationGate|direct activate_at_boundary","frame activation gate boundary tests","Anti-bypass compile/search proof","No direct gate type or activation call remains","cargo check -p worth-ui-runtime|frame denial tests","high","complete","Evidence/denial types may remain if honestly named.","frame_activation_gate/gate.rs|verified 2026-07-12: canonical receipt-ledger -> move-only attempt -> prepare -> single-use commit route; 815/815 runtime tests; exact boundary guard and facade compile fences green"
"P10-D022","5-delete","220","atomic swap residue","delete","runtime/activation/swap.rs|runtime/atomic_plan_swap/atomic_swap.rs","publish_committed_allocation|UiCommittedAllocationTransaction|prepare_at_checkpoint","Independent swap publisher and transaction builder.","Split ready|graph|ledger|scroll|replacement inputs","Prepared activation or rollback","Allows publication beneath canonical attempt and duplicates preparation topology.","runtime/activation/committed_allocation_attempt/attempt.rs|commit.rs","Attempt::prepare|commit_once","Canonical transaction replaces all lower publication entry points.","Whole attempt|inputs|context","Receipt or unified denial","No lower swap publisher or split-input transaction survives.","P10-D014|P10-D015|P10-D016|P10-D019","P10-D027","activation swap callers|test injections","publish_committed_allocation|publish_committed_allocation_at_checkpoint_for_test|UiCommittedAllocationTransaction|prepare_at_checkpoint","atomic swap tests|rollback tests","Anti-bypass compile/search proof","rg returns zero listed publishers and transaction builders","cargo check -p worth-ui-runtime|cargo test -p worth-ui-runtime --lib","critical","complete","Delete after caller and test migration.","activation/swap.rs|atomic_swap.rs|verified 2026-07-12: canonical receipt-ledger -> move-only attempt -> prepare -> single-use commit route; 815/815 runtime tests; exact boundary guard and facade compile fences green"
"P10-D023","6-harden","230","rollback evidence","replace","runtime/atomic_plan_swap/rollback.rs|runtime/invalidation_narrowing/scroll_catalog_evidence.rs","WorthUiPlanSwapRollback|UiScrollCatalogSwapEvidence::NotAttempted","Explain partial-stage failures and restore replacement state.","Prior plan|partial transition|scalar checks","Rollback object","Early failures lack one complete attempted identity; NotAttempted can erase actual attempted scroll work.","runtime/activation/committed_allocation_attempt/denial.rs|evidence.rs","UiCommittedAllocationActivationDenial","Represent every failed attempt structurally before commit.","P10-D001 identity|predecessor and attempted successors|exact counters","Unified denial with no-mutation evidence","No successful/preparatory NotAttempted; prepared drop is rollback; commit has no rollback.","P10-D005|P10-D010|P10-D011|P10-D014|P10-D015","P10-D025A|P10-D026|P10-D027","facade denial mapping|inspection","UiScrollCatalogSwapEvidence::NotAttempted in activation outcomes|compensating rollback paths","rollback tests|scroll catalog evidence tests","Every checkpoint carries same structural identity and unchanged snapshots","rg finds no activation-success NotAttempted and no post-write rollback","cargo test -p worth-ui-runtime rollback","critical","complete","Keep prior-valid-plan inspection only if it is evidence, not authority.","runner reviews 2278 and 2392|verified 2026-07-12: canonical receipt-ledger -> move-only attempt -> prepare -> single-use commit route; 815/815 runtime tests; exact boundary guard and facade compile fences green"
"P10-D024","6-harden","240","offset projection","rekey_and_harden","runtime/scroll_owned_allocation/projection.rs|receipt_activation_key.rs","UiActivatedScrollOwner|UiScrollReceiptActivationKey|UiScrollOffsetProjectionLedger::record","Project offset without allocation invalidation.","Activated owner|receipt key|finite offset","Projection generation and zero-churn outcome","Capability is not yet proven to derive from canonical structural activation; generation overflow panics.","runtime/scroll_owned_allocation/projection.rs","canonical projection capability|typed projection denial","Seal projection capability from committed structural scroll identity and make overflow typed.","Committed structural scroll identity|finite offset","Projection-only outcome or denial","Offset never replaces allocation receipt or invalidates allocation; no panic.","P10-D010|P10-D015","P10-D026|P10-D027","offset projection callers","digest-only projection owner authorization|expect on projection generation overflow","scroll_owned_allocation tests","1000 host and 1000 Query offsets leave ledger and invalidation unchanged","No offset path calls allocation invalidation/receipt replacement; no overflow expect","cargo test -p worth-ui-runtime scroll_owned_allocation","high","complete","Preserve existing NonVirtualized and ProjectedInteractionOnly law.","projection.rs:83-181|receipt_activation_key.rs:25-29|verified 2026-07-12: canonical receipt-ledger -> move-only attempt -> prepare -> single-use commit route; 815/815 runtime tests; exact boundary guard and facade compile fences green"
"P10-D025","6-harden","250","exact cost","consolidate","runtime/invalidation_narrowing|frame_activation_gate|atomic_plan_swap","Distributed counters|publication_checks|acquisition probes","Count stage-local work.","Local operations","Scattered counter evidence","Detached/scalar counters are not a complete transaction cost proof and can overflow/panic inconsistently.","runtime/activation/committed_allocation_attempt/counters.rs","UiCommittedAllocationActivationCounters","Compose checked operation-owned counters for success and denial.","All preparation operations","Exact counter bundle or typed exhaustion denial","Exact acquisition separate from bounded diagnostics; no unchecked/saturating/lossy arithmetic.","P10-S007|P10-D005|P10-D010|P10-D014","P10-D025A|P10-D026|P10-D027","receipt and denial evidence|inspection","publication_checks|detached acquisition_probe counters|unchecked Phase 10 arithmetic","counter tests|scale tests","Unrelated sibling cardinality does not increase exact acquisition work","All Phase 10 counters checked and attached to transaction outcome","cargo test -p worth-ui-runtime counters","medium","complete","Make cost proof inspectable but never authoritative.","swap.rs:21-27|consumer.rs counters|latest repair summaries|verified 2026-07-12: canonical receipt-ledger -> move-only attempt -> prepare -> single-use commit route; 815/815 runtime tests; exact boundary guard and facade compile fences green"
"P10-D025A","6-harden","255","inspection projection","integrate","evidence/allocation/scroll_owned_evidence.rs|runtime/diagnostics|worth-ui-inspection","Phase 10 receipt and denial projection","Project existing stage-local evidence into diagnostics.","Canonical receipt|unified denial|exact counters|source lineage","Inspection record","Without integration the architectural cutover can become correct but opaque; diagnostics may keep reconstructing the old split-stage story.","existing evidence and inspection owners","canonical scroll activation inspection projection","Project canonical transaction outcome without owning or reconstructing authority.","P10-S008 contract|P10-D005 denial|P10-D015 receipt|P10-D023 evidence|P10-D025 counters","Read-only local why record with exact evidence refs","Projection is lossless for source; cause; locality; identity; denial/reuse; work; and receipt posture; logs are not authority.","P10-S008|P10-D005|P10-D015|P10-D023|P10-D025","P10-D026","runtime diagnostics|inspection facade","old split-stage reconstruction|logs-as-evidence","runtime diagnostics tests|worth-ui-inspection tests","Success and denial inspection resolve to the same structural attempt lineage","No diagnostics path reads obsolete ready/gate/swap artifacts","cargo test -p worth-ui-runtime diagnostics|cargo test -p worth-ui-inspection","high","complete","Integrate only Phase 10 outcome fields; defer Phase 12 feature expansion.","P10-S008|runner review requirement to include substrate|verified 2026-07-12: canonical receipt-ledger -> move-only attempt -> prepare -> single-use commit route; 815/815 runtime tests; exact boundary guard and facade compile fences green"
"P10-D026","7-certify","260","semantic acceptance","add_tests","runtime/tests/activation|runtime/scroll_owned_allocation/tests.rs","Focused and synthetic Phase 10 tests","Prove pieces of scroll semantics.","Test fixtures","Passing focused assertions","Focused success does not prove ordinary facade locality or canonical publication.","runtime/tests/activation/phase_10_scroll_owned_activation_tests.rs","ordinary Phase 10 acceptance suite","Prove semantics through sole public activation route.","Ordinary host and Query inputs|adversarial failures","Receipts|denials|state snapshots|exact counters","Exact neighborhood locality; typed contradiction denial; zero unrelated churn; offset inertness; rollback invariance.","P10-D016|P10-D018|P10-D019|P10-D023|P10-D024|P10-D025|P10-D025A","P10-D027","","","old synthetic-only Phase 10 fixtures","Host viewport extent locality|Query content extent locality|unsupported ownership|contradictory ownership|1000 offsets each source|every preparation checkpoint","All acceptance cases use activate_admitted_allocation_catalog_at_frame_boundary","cargo test -p worth-ui-runtime phase_10_scroll_owned","critical","complete","This is the honest Phase 10 behavioral gate.","milestone-3.8.md Phase 10 test requirements|verified 2026-07-12: ordinary Phase 10 host and Query locality acceptance; typed unadmitted-ownership denial; 1,000 host plus 1,000 Query offset projections with zero allocation churn"
"P10-D027","8-closeout","270","closeout","audit","workspace-wide","Phase 10 forbidden-surface and broad-suite audit","Determine whether canonical cutover is complete.","Codebase|tests|exports","Pass/fail closeout decision","Without mechanical residue checks Phase 10 can pass while sibling publishers survive.","automation/phase_runner or certification checks","Phase 10 architectural closeout gate","Enforce deletion ledger; broad tests; format; line caps; canonical route.","All prior delta outputs","Phase 10 review-ready evidence","Every dependency complete; zero forbidden symbols; broad suite green; no focused-test substitution.","P10-D017|P10-D018|P10-D019|P10-D020|P10-D021|P10-D022|P10-D023|P10-D024|P10-D025|P10-D026","","","into_activation_components|UiCommittedAllocationPreparation|prepare_committed_allocation_for_test|WorthUiFrameActivationGate activation|publish_committed_allocation_attempt|publish_committed_allocation|UiCommittedAllocationTransaction|prepare_at_checkpoint|ReadyFixture|activation-success NotAttempted|detached acquisition_probe authority","workspace runtime and certification suites","Canonical constructor-to-commit path|anti-bypass|broad semantic and rollback proof","All dependency rows complete and every forbidden-symbol rg returns zero","cargo fmt -p worth-ui-runtime -- --check|line-cap check|cargo check -p worth-ui-runtime|cargo test -p worth-ui-runtime --lib|relevant workspace tests","critical","complete","Only this row permits Phase 10 review_passed.","runner review 2392|milestone acceptance|coding guideline laws|verified 2026-07-12: 815/815 runtime tests; 50/50 runtime-authority compile fences; 4/4 plan-swap facade fences; dependent host, Query, and inspection crates green; format and changed-file line-cap gates green"
